"216";"RIVER PLATE VS INDEPENDIENTE";"2437-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2437";"Puerta de Prensa";"17:20:13";"PRODUCTORA DM";"0";"0";"0"
"217";"RIVER PLATE VS INDEPENDIENTE";"2439-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2439";"Puerta de Prensa";"17:21:32";"PRODUCTORA DM";"0";"0";"0"
"218";"RIVER PLATE VS INDEPENDIENTE";"2436-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2436";"Puerta de Prensa";"17:21:42";"PRODUCTORA DM";"0";"0";"0"
"219";"RIVER PLATE VS INDEPENDIENTE";"2438-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2438";"Puerta de Prensa";"17:22:2";"PRODUCTORA DM";"0";"0";"0"
"220";"RIVER PLATE VS INDEPENDIENTE";"2515-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2515";"Playon de Prensa";"17:20:41";"PORQUE A RIVER - LO QUIERO";"0";"0";"0"
"221";"RIVER PLATE VS INDEPENDIENTE";"2514-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2514";"Playon de Prensa";"17:22:40";"PORQUE A RIVER - LO QUIERO";"0";"0";"0"
"222";"RIVER PLATE VS INDEPENDIENTE";"2344-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2344";"Puerta de Prensa";"17:22:18";"RADIO - CADENA UNO";"37";"4";"0"
"223";"RIVER PLATE VS INDEPENDIENTE";"2345-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2345";"Puerta de Prensa";"17:23:22";"RADIO - CADENA UNO";"38";"4";"0"
"224";"RIVER PLATE VS INDEPENDIENTE";"2346-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2346";"Puerta de Prensa";"17:23:33";"RADIO - CADENA UNO";"39";"4";"0"
"225";"RIVER PLATE VS INDEPENDIENTE";"2662-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2662";"Playon de Prensa";"17:22:51";"FOX SPORTS - TRANSMISION";"0";"0";"0"
"226";"RIVER PLATE VS INDEPENDIENTE";"2201-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2201";"Playon de Prensa";"17:24:45";"FOX SPORTS - TRANSMISION";"0";"0";"0"
"227";"RIVER PLATE VS INDEPENDIENTE";"2444-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2444";"Playon de Prensa";"17:25:3";"PANTALLA - RIVER";"0";"0";"0"
"228";"RIVER PLATE VS INDEPENDIENTE";"2344-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2344";"Palco 20";"17:17:36";"RADIO - CADENA UNO";"37";"4";"0"
"229";"RIVER PLATE VS INDEPENDIENTE";"2345-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2345";"Palco 20";"17:28:11";"RADIO - CADENA UNO";"38";"4";"0"
"230";"RIVER PLATE VS INDEPENDIENTE";"2314-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2314";"Puerta de Prensa";"17:23:42";"MUY - INDEPENDIENTE";"14";"3";"0"
